honorific_title,name,constituency,province_territory,political_affiliation,username,profile_URL,verified
,Sima Acan,Oakville West,Ontario,Liberal,simaacan.bsky.social,https://bsky.app/profile/simaacan.bsky.social,No
,Scott Aitchison,Parry Sound–—Muskoka,Ontario,Conservative,scottaitchison.bsky.social,https://bsky.app/profile/scottaitchison.bsky.social,No
Hon.,Anita Anand,Oakville East,Ontario,Liberal,anitaoakvilleeast.bsky.social,https://bsky.app/profile/anitaoakvilleeast.bsky.social,No
,Parm Bains,Richmond East—_Steveston,British Columbia,Liberal,pbainsy.bsky.social,https://bsky.app/profile/pbainsy.bsky.social,No
,Karim Bardeesy,Taiaiako'n–_Parkdale–_High Park,Ontario,Liberal,kbardeesy.bsky.social,https://bsky.app/profile/kbardeesy.bsky.social,No
Hon.,Terry Beech,Burnaby North—_Seymour,British Columbia,Liberal,terrybeech.bsky.social,https://bsky.app/profile/terrybeech.bsky.social,No
Hon.,Buckley Belanger,Desnethé—Missinippi—Churchill River,Saskatchewan,Liberal,buckleybelanger.bsky.social,https://bsky.app/profile/buckleybelanger.bsky.social,No
Hon.,Rachel Bendayan,Outremont,Quebec,Liberal,rachelbendayan.bsky.social,https://bsky.app/profile/rachelbendayan.bsky.social,No
,Chris Bittle,St. Catharines,Ontario,Liberal,chrisbittle.bsky.social,https://bsky.app/profile/chrisbittle.bsky.social,No
,Yves-François Blanchet,Beloeil–Chambly,Quebec,Bloc Qu√©b√©cois,yfblanchet.bsky.social,https://bsky.app/profile/yfblanchet.bsky.social,No
,Maxime Blanchette-Joncas,Rimouski—La Matapédia,Quebec,Bloc Qu√©b√©cois,mbjdepute.bsky.social,https://bsky.app/profile/mbjdepute.bsky.social,No
,Patrick Bonin,Repentigny,Quebec,Bloc Qu√©b√©cois,patbonin.bsky.social,https://bsky.app/profile/patbonin.bsky.social,No
,Alexandre Boulerice,Rosemont–La Petite-Patrie,Quebec,NDP,alexboulerice.bsky.social,https://bsky.app/profile/alexboulerice.bsky.social,No
,Alexis Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Qu√©b√©cois,alexisduceppe.bsky.social,https://bsky.app/profile/alexisduceppe.bsky.social,No
Right Hon.,Mark Carney,Nepean,Ontario,Liberal,mark-carney.bsky.social,https://bsky.app/profile/mark-carney.bsky.social,Yes
,Ben Carr,Winnipeg South Centre,Manitoba,Liberal,bencarrwpg.bsky.social,https://bsky.app/profile/bencarrwpg.bsky.social,No
,Martin Champoux,Drummond,Quebec,Bloc Qu√©b√©cois,martchampoux.bsky.social,https://bsky.app/profile/martchampoux.bsky.social,No
Hon.,Rebecca Chartrand,Churchill–Keewatinook Aski,Manitoba,Liberal,rebeccachartrand.bsky.social,https://bsky.app/profile/rebeccachartrand.bsky.social,No
,Sophie Chatel,Pontiac–Kitigan Zibi,Quebec,Liberal,sophiechatel.bsky.social,https://bsky.app/profile/sophiechatel.bsky.social,No
,Shaun Chen,Scarborough North,Ontario,Liberal,shaunchenmp.bsky.social,https://bsky.app/profile/shaunchenmp.bsky.social,No
,Leslie Church,Toronto–St. Paul's,Ontario,Liberal,lesliechurch.bsky.social,https://bsky.app/profile/lesliechurch.bsky.social,No
,Michael Coteau,Scarborough–Woburn,Ontario,Liberal,coteau.bsky.social,https://bsky.app/profile/coteau.bsky.social,No
,Chris d'Entremont,Acadie–Annapolis,Nova Scotia,Liberal,chrisdentremontmp.bsky.social,https://bsky.app/profile/chrisdentremontmp.bsky.social,No
Hon.,Julie Dabrusin,Toronto–Danforth,Ontario,Liberal,juliedabrusin.bsky.social,https://bsky.app/profile/juliedabrusin.bsky.social,No
,Marc Dalton,Pitt Meadows–Maple Ridge,British Columbia,Conservative,marcdalton.bsky.social,https://bsky.app/profile/marcdalton.bsky.social,No
