uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,indexed_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels,is_reskeet
at://did:plc:u33od7k5yunjbq5o42ovla5f/app.bsky.feed.post/3lelxjui7z22h,bafyreiazeeekelulpyfgdm27f2gsgla4okzgtqjsuegbekaxzkfc2ag2wy,anitaanandmp.bsky.social,Anita Anand,"For years, my family and I have cheered on the #worldjuniors. It was an honour to present the Player of the Game award after Canada defeated Germany 3-0. Looking forward to Canada vs US this evening. Felicitations et bonne chance! Go Canada go! 🇨🇦",,,,0,1,8,2024-12-31T11:38:57Z,NA,NA,NA,,,,,,FALSE
at://did:plc:u33od7k5yunjbq5o42ovla5f/app.bsky.feed.post/3ldynfyi6p222,bafyreihdsppxa7fleg7cufbyvckyes7wcxgmggrmcaupnmm3aavxhzufsy,anitaanandmp.bsky.social,Anita Anand,"I am delighted to authorize Santa’s travel in Canadian airspace as part of my duties as Minister of Transport and Internal Trade. I would like to take this opportunity to wish all Canadians a Merry Christmas and joyful holiday season!
youtu.be/tbFiUYAK1cQ?...",,,,8,12,69,2024-12-23T19:17:12Z,NA,NA,NA,,,,,,FALSE
at://did:plc:u33od7k5yunjbq5o42ovla5f/app.bsky.feed.post/3ldynemdmkc22,bafyreibsvtdcsp76s5rbay5su63s5ohdreb73lwlclcczzqrtftc7gb6ri,anitaanandmp.bsky.social,Anita Anand,"Je suis ravie d’autoriser le voyage du Père Noël dans l’espace aérien canadien dans le cadre de mes fonctions de ministre des Transports et du Commerce intérieur. J’aimerais profiter de cette occasion pour souhaiter à tous les Canadiens un joyeux Noël et de joyeuses fêtes! 
youtu.be/XEk0WlL5cpQ?...",,,,0,1,6,2024-12-23T19:16:26Z,NA,NA,NA,,,,,,FALSE
at://did:plc:u33od7k5yunjbq5o42ovla5f/app.bsky.feed.post/3ldmkx3iibs2w,bafyreid74scdzfcsfikgsmn3omxemz3qploncsluxazqejtel657p5uvoy,anitaanandmp.bsky.social,Anita Anand,"Frontline public servants work hard every day to keep Canadians safe.

#FES2024 is making sure their service is recognized by expanding the ""25 and out"" policy, allowing them to retire after 25 years without any pension reductions.",,,,0,1,13,2024-12-19T00:01:07Z,NA,NA,NA,,,,,,FALSE
at://did:plc:u33od7k5yunjbq5o42ovla5f/app.bsky.feed.post/3ldmkw3rvic2w,bafyreifxn263pyxpthfc4h3vlswrkhxraoqrn2xomuqingahfwpiyovw5u,anitaanandmp.bsky.social,Anita Anand,"Les agents de première ligne travaillent dur chaque jour pour assurer la sécurité des Canadiens.

L'#EEP2024 veille à ce que leur service soit reconnu en élargissant la politique ""25 ans et retraite"", leur permettant de prendre leur retraite après 25 ans sans aucune réduction de pension.",,,,0,0,0,2024-12-19T00:00:34Z,NA,NA,NA,,,,,,FALSE
at://did:plc:u33od7k5yunjbq5o42ovla5f/app.bsky.feed.post/3ld5ouyuulk2k,bafyreicnbhkasepeevqw4q2c6dklvzautqvs5uo6vk324dmn2xz633av7y,anitaanandmp.bsky.social,Anita Anand,,,,,1,1,10,2024-12-13T02:01:37Z,NA,NA,NA,,,,,,FALSE
at://did:plc:serlxfuuco5zwtgjbezfqib5/app.bsky.feed.post/3lemay7wq3226,bafyreigwsyogf7jhnefvzqe4ufob4fwr7gn2insoalyk5vyvqmrt7jpsda,charlieangus104.bsky.social,Charlie Angus,"My editorial piece in @nationalobserver.com 
We are not in ordinary times. We are in Trump times. The clock is ticking down on the arrival of the chaos machine in Washington. Canada is staring down a political tsunami but we're too busy to notice.""
www.nationalobserver.com/2024/12/27/o...",,,,80,309,827,2024-12-31T14:28:02Z,NA,NA,NA,,,,,,FALSE
at://did:plc:serlxfuuco5zwtgjbezfqib5/app.bsky.feed.post/3len2cvaubk26,bafyreihg6msurjbahk2c7qrb5inb4fg6mq4xdrjm6ndep6ptf4ketzhm6q,charlieangus104.bsky.social,Charlie Angus,"There are some powerful tributes to Jimmy Carter - a man who truly did care.
In my new book Dangerous Memory I write of Carter's troubled presidency that led to the rise of Ronald Reagan.
But I also cover his efforts to raise awareness of the emerging climate crisis. 
@houseofanansi.bsky.social",,,,9,29,183,2024-12-31T22:01:24Z,NA,NA,NA,,,,,,FALSE
at://did:plc:serlxfuuco5zwtgjbezfqib5/app.bsky.feed.post/3lemay7wq3226,bafyreigwsyogf7jhnefvzqe4ufob4fwr7gn2insoalyk5vyvqmrt7jpsda,charlieangus104.bsky.social,Charlie Angus,"My editorial piece in @nationalobserver.com 
We are not in ordinary times. We are in Trump times. The clock is ticking down on the arrival of the chaos machine in Washington. Canada is staring down a political tsunami but we're too busy to notice.""
www.nationalobserver.com/2024/12/27/o...",,,,80,309,827,2024-12-31T14:28:02Z,NA,NA,NA,,,,,,FALSE
at://did:plc:serlxfuuco5zwtgjbezfqib5/app.bsky.feed.post/3lem5h6bcvs2r,bafyreiboz356ijvfmbr3wsjwjw6zsertasrh7og7lvi7lopb3tifwknpi4,charlieangus104.bsky.social,Charlie Angus,"My fb feed is increasingly filled with AI-generate rage content. I have even had AI-generated death threats. 
Apparently Meta thinks that flooding your feed with fake will enhance the experience. 
It's a reason I am spending more time on bluesky these days. 

www.rollingstone.com/culture/cult...",,,,59,93,484,2024-12-31T13:24:48Z,NA,NA,NA,,,,,,FALSE
