honorific_title,first_name,last_name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
,Ziad,Aboultaif,Man,,,,Conservative,Edmonton Manning,Alberta
,Scott,Aitchison,Man,scottaitchison.bsky.social,https://bsky.app/profile/scottaitchison.bsky.social,Inactive,Conservative,Parry Sound—Muskoka,Ontario
,Dan,Albas,Man,,,,Conservative,Central Okanagan—Similkameen—Nicola,British Columbia
Hon.,Omar,Alghabra,Man,,,,Liberal,Mississauga Centre,Ontario
,Shafqat,Ali,Man,,,,Liberal,Brampton Centre,Ontario
,Dean,Allison,Man,,,,Conservative,Niagara West,Ontario
Hon.,Anita,Anand,Woman,anitaanandmp.bsky.social,https://bsky.app/profile/anitaanandmp.bsky.social,Active,Liberal,Oakville,Ontario
Hon.,Gary,Anandasangaree,Man,,,,Liberal,Scarborough—Rouge Park,Ontario
,Charlie,Angus,Man,charlieangus104.bsky.social,https://bsky.app/profile/charlieangus104.bsky.social,Active,NDP,Timmins—James Bay,Ontario
,Mel,Arnold,Man,,,,Conservative,North Okanagan—Shuswap,British Columbia
,René,Arseneault,Man,,,,Liberal,Madawaska—Restigouche,New Brunswick
,Chandra,Arya,Man,aryacanada.bsky.social,https://bsky.app/profile/aryacanada.bsky.social,Active,Liberal,Nepean,Ontario
,Niki,Ashton,Woman,nikiashton.bsky.social,https://bsky.app/profile/nikiashton.bsky.social,Inactive,NDP,Churchill—Keewatinook Aski,Manitoba
,Jenica,Atwin,Woman,,,,Liberal,Fredericton,New Brunswick
,Taylor,Bachrach,Man,taylorbachrach.bsky.social,https://bsky.app/profile/taylorbachrach.bsky.social,Active,NDP,Skeena—Bulkley Valley,British Columbia
,Vance,Badawey,Man,,,,Liberal,Niagara Centre,Ontario
,Parm,Bains,Man,pbainsy.bsky.social,https://bsky.app/profile/pbainsy.bsky.social,Inactive,Liberal,Steveston—Richmond East,British Columbia
,Yvan,Baker,Man,,,,Liberal,Etobicoke Centre,Ontario
,Tony,Baldinelli,Man,,,,Conservative,Niagara Falls,Ontario
,John,Barlow,Man,,,,Conservative,Foothills,Alberta
,Michael,Barrett,Man,,,,Conservative,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario
,Lisa Marie,Barron,Woman,lisamariebarron.bsky.social,https://bsky.app/profile/lisamariebarron.bsky.social,Active,NDP,Nanaimo—Ladysmith,British Columbia
,Xavier,Barsalou-Duval,Man,,,,Bloc Québécois,Pierre-Boucher—Les Patriotes—Verchères,Quebec
,Jaime,Battiste,Man,,,,Liberal,Sydney—Victoria,Nova Scotia
,Mario,Beaulieu,Man,,,,Bloc Québécois,La Pointe-de-l'Île,Quebec
Hon.,Terry,Beech,Man,terrybeech.bsky.social,https://bsky.app/profile/terrybeech.bsky.social,Active,Liberal,Burnaby North—Seymour,British Columbia
Hon.,Rachel,Bendayan,Woman,rachelbendayan.bsky.social,https://bsky.app/profile/rachelbendayan.bsky.social,Active,Liberal,Outremont,Quebec
,Stéphane,Bergeron,Man,,,,Bloc Québécois,Montarville,Quebec
,Luc,Berthold,Man,lucberthold.bsky.social,https://bsky.app/profile/lucberthold.bsky.social,Active,Conservative,Mégantic—L'Érable,Quebec
