post_id,author_handle,author_name,text,date_posted,language
3lelxjui7z22h,anitaanandmp.bsky.social,Anita Anand,"For years, my family and I have cheered on the #worldjuniors. It was an honour to present the Player of the Game award after Canada defeated Germany 3-0. Looking forward to Canada vs US this evening. Felicitations et bonne chance! Go Canada go! 🇨🇦",2024-12-31,English
3ldynfyi6p222,anitaanandmp.bsky.social,Anita Anand,"I am delighted to authorize Santa’s travel in Canadian airspace as part of my duties as Minister of Transport and Internal Trade. I would like to take this opportunity to wish all Canadians a Merry Christmas and joyful holiday season!
youtu.be/tbFiUYAK1cQ?...",2024-12-23,English
3ldynemdmkc22,anitaanandmp.bsky.social,Anita Anand,"Je suis ravie d’autoriser le voyage du Père Noël dans l’espace aérien canadien dans le cadre de mes fonctions de ministre des Transports et du Commerce intérieur. J’aimerais profiter de cette occasion pour souhaiter à tous les Canadiens un joyeux Noël et de joyeuses fêtes! 
youtu.be/XEk0WlL5cpQ?...",2024-12-23,French
3ldmkx3iibs2w,anitaanandmp.bsky.social,Anita Anand,"Frontline public servants work hard every day to keep Canadians safe.

#FES2024 is making sure their service is recognized by expanding the ""25 and out"" policy, allowing them to retire after 25 years without any pension reductions.",2024-12-19,English
3ldmkw3rvic2w,anitaanandmp.bsky.social,Anita Anand,"Les agents de première ligne travaillent dur chaque jour pour assurer la sécurité des Canadiens.

L'#EEP2024 veille à ce que leur service soit reconnu en élargissant la politique ""25 ans et retraite"", leur permettant de prendre leur retraite après 25 ans sans aucune réduction de pension.",2024-12-19,French
3ld5ouyuulk2k,anitaanandmp.bsky.social,Anita Anand,NA,2024-12-13,NA
3lemay7wq3226,charlieangus104.bsky.social,Charlie Angus,"My editorial piece in @nationalobserver.com 
We are not in ordinary times. We are in Trump times. The clock is ticking down on the arrival of the chaos machine in Washington. Canada is staring down a political tsunami but we're too busy to notice.""
www.nationalobserver.com/2024/12/27/o...",2024-12-31,English
3len2cvaubk26,charlieangus104.bsky.social,Charlie Angus,"There are some powerful tributes to Jimmy Carter - a man who truly did care.
In my new book Dangerous Memory I write of Carter's troubled presidency that led to the rise of Ronald Reagan.
But I also cover his efforts to raise awareness of the emerging climate crisis. 
@houseofanansi.bsky.social",2024-12-31,English
3lemay7wq3226,charlieangus104.bsky.social,Charlie Angus,"My editorial piece in @nationalobserver.com 
We are not in ordinary times. We are in Trump times. The clock is ticking down on the arrival of the chaos machine in Washington. Canada is staring down a political tsunami but we're too busy to notice.""
www.nationalobserver.com/2024/12/27/o...",2024-12-31,English
3lem5h6bcvs2r,charlieangus104.bsky.social,Charlie Angus,"My fb feed is increasingly filled with AI-generate rage content. I have even had AI-generated death threats. 
Apparently Meta thinks that flooding your feed with fake will enhance the experience. 
It's a reason I am spending more time on bluesky these days. 

www.rollingstone.com/culture/cult...",2024-12-31,English
3lem4s5zup224,charlieangus104.bsky.social,Charlie Angus,"I'm not taking the time to think about 2024 I'm focused on what is coming in 2025.
I'm not working for the clampdown. How about you?
We can do this. 
We gotta do this. 

www.youtube.com/watch?v=LQ82...",2024-12-31,English
3lekvtqqjn223,charlieangus104.bsky.social,Charlie Angus,"The first time I was accused of being ""ANTIFA"" I didn't know the term.
I called my daughter. 
She said, ""It means anti-fascist.""
Hell ya.
I come from a long and proud line of ANTIFA.
My uncles kicked Nazi ass all across Europe.",2024-12-31,English
3lekud52edk2m,charlieangus104.bsky.social,Charlie Angus,"The night Utah Phillips and I were made life-long members of the legendary Mine-Mill Union at Joe Hill Hall in Sudbury.
I'm six feet tall. 
Utah made me look like a shrimp. 
I treasure my Mine-Mill card. 130 years of resistance.",2024-12-31,English
3lejj2nbntk2f,charlieangus104.bsky.social,Charlie Angus,"Song of the day: The Future by Leonard Cohen
""Things are going to slide, 
slide in all directions
Won't be nothing
Nothing you can measure anymore
The blizzard, the blizzard of the world
Has crossed the threshold 
and it has overturned the order of the soul.""

www.youtube.com/watch?v=8Wlb...",2024-12-30,English
3leig37ou6c2p,charlieangus104.bsky.social,Charlie Angus,"We had a tragedy on the ice today. A Dad and daughter went through the ice in Temiskaming Shores region.  Please stay off the ice. It's not solid. 
This is a really heartbreaking tragedy.",2024-12-30,English
3lei2pmcv4s2s,charlieangus104.bsky.social,Charlie Angus,"6000 feet underground at KL Gold, Kirkland Lake with Jagmeet Singh.
Pierre Poilievre comes north to rage and rant but he refuses to meet with First Nation leaders and won't go underground.
Seriously.
What's his beef? 
He doesn't have your back.",2024-12-29,English
3lehr7oditc24,charlieangus104.bsky.social,Charlie Angus,"Another reason why Pierre Poilievre is unfit to lead Canada.
His front bench are conspiracy nutters who are using the threat of an American takeover of our nation to peddle conspiracy drivel.
We need leaders with a vision for Canada.
Poilievre is too busy chasing the rage algorithm of conspiracy.",2024-12-29,English
3lehi4ojunk26,charlieangus104.bsky.social,Charlie Angus,"""We should not count upon the majority of Americans coming to their senses in any event....All my life I have been an admirer of the United States and its people. But I am frightened of it now, and I am even more frightened of them.” - Conservative journalist Andrew Coyne",2024-12-29,English
3lehhsgztd22f,charlieangus104.bsky.social,Charlie Angus,"A shout out to northern mine rescue teams - the best of the best. 
The greatest riches that ever came out a mine was the miner coming home safe at the end of shift.  
Here I am with the crew from VALE and crew from KL Gold.",2024-12-29,English
3lehbu4tf4c2x,charlieangus104.bsky.social,Charlie Angus,"I wrote this song for our last Grievous Angels album - Last Call for Cinderella available on bandcamp. 
grievousangels2.bandcamp.com",2024-12-29,English
3leh37ur7xk22,charlieangus104.bsky.social,Charlie Angus,"Song of the day: The Exciters Tell Him  
Formed in NYC in 1961 the Exciters were set up under the music team of Leiber/Stoller. 
They were a great band. 

www.youtube.com/watch?v=ah-t...",2024-12-29,English
3leh2b2ufhk2m,charlieangus104.bsky.social,Charlie Angus,"Thanks to everyone who have sent feedback on my new book Dangerous Memory.  

""An extraordinary read from a true Canadian original.""
- Naomi Klein

""This is necessary history for these dangerous times.” 
—John Vaillant, Fire Weather 

""This book is raw, honest, and true.""
- Dave Bidini",2024-12-29,English
3legza3fcq22y,charlieangus104.bsky.social,Charlie Angus,"Trump is trolling about invading Canada and Greenland. Now a key national security advisor has gone further.
Denmark is a NATO ally. Canada is obliged to help them defend from invasion.
Instead of playing stupid ball with Conservatives 
MPs need to get ready for a Putin style regime in Washington.",2024-12-29,English
3lefut4tz5c2c,charlieangus104.bsky.social,Charlie Angus,"If you wonder why I will vote against the upcoming non-confidence scheme pushed by Pierre Poilieve please watch this speech I gave deconstructing Conservative MAGA bullshit.
Our nation is facing unprecedented issues.
I will not gamble our country on brinkmanship.

www.youtube.com/watch?v=B6DG...",2024-12-29,English
3lefth5wqi22b,charlieangus104.bsky.social,Charlie Angus,"This performance of the Alarm on Top of the Pops was 5 days after they played with my band L'étranger at Larry's Hideaway in Toronto.
Larry's was a total punk rock dive.
The band's hair spray was a little overwhelming.
But it was a monster night of music.   
www.youtube.com/watch?v=KZp1...",2024-12-29,English
3lefjby5yr22b,charlieangus104.bsky.social,Charlie Angus,"In 2025 going along to get along is not an option.
Our political leaders are not going to step up.
Ordinary people must fill the gap.
Thanks to Eva Marie Kogel for resigning after her paper published an Elon Musk editorial supporting a fascist party. 
No pasaran

www.theguardian.com/world/2024/d...",2024-12-28,English
3lefipld53c2c,charlieangus104.bsky.social,Charlie Angus,"A must read on why a top restaurant in New York was forced to close. 
The owner was forced to take a full time side gig to pay for health insurance. 
This is the fucked up reality of a country that puts billionaires above people.
No thanks Donald. 
We like our border.
www.nytimes.com/2024/12/28/o...",2024-12-28,English
3lef7342md22y,charlieangus104.bsky.social,Charlie Angus,"Putin shot down a civilian airliner.
The situation in Ukraine is becoming increasingly serious. 
Trump claimed that Putin was ""savvy"" and a ""genius"" for launching his murderous invasion. 
Canada needs to work with European allies to support Ukraine at this time. 
www.vanityfair.com/news/donald-...",2024-12-28,English
3lef3iuakmc2k,charlieangus104.bsky.social,Charlie Angus,"I am a proud New Democrat but there are moments when we must put country first.
Trump's inauguration poses a serious threat.
Canadians deserve a plan, not political brinkmanship.
I will go back to Parliament to try my best.
I will not vote with Pierre Poilieve as it risks advancing his toxic agenda.",2024-12-28,English
3leeob2o5us2t,charlieangus104.bsky.social,Charlie Angus,"When I watch the conspiracy ragers waving Trump flags and the Stars and Stripes outside Parliament I think of that simple message from Stompin' Tom.
""If you don't believe your country 
You can better serve your country by living somewhere else.""
#vichyconservatives
www.youtube.com/watch?v=S5ou...",2024-12-28,English
3leejhfsvgk23,charlieangus104.bsky.social,Charlie Angus,If you're in Northern Ontario stay of the roads today if you can. Huge sections of Highway 11 are closed. It is a total ice rink out there.,2024-12-28,English
3leej7j6bgc23,charlieangus104.bsky.social,Charlie Angus,"Song of the Day: Heroes by David Bowie
From his incredible Berlin period. 
""We could be heroes just for one day.""

Is it just me or did the world go hell the day Bowie left us? 

www.youtube.com/watch?v=qN1k...",2024-12-28,English
3ledamoqbus2n,charlieangus104.bsky.social,Charlie Angus,"Seriously,
Why isn't @cnn.com getting media training from Russian state media?
The headlines that support Trump in undermining the sovereignty of independent nations would be less of the kiss the ring/lick the boot editorial approach.

www.mediaite.com/trump/canadi...",2024-12-28,English
3lectjgwdtk2c,charlieangus104.bsky.social,Charlie Angus,"Thanks to CKCU FM and host Joe Reilly for a wide ranging interview with me about my new book Dangerous Memory. We talk idealism, punk rock, standing up to a world of neo-Con greed. 

cod.ckcufm.com/programs/107...",2024-12-27,English
3lecqdwwpfs27,charlieangus104.bsky.social,Charlie Angus,"Regarding the latest Conservative scheme to force an election just as Trump comes to power:
I didn't survive 21 years in Parliament defending a working class and Indigenous constituency to get played for a sucker by Pierre Poilievre and his Vichy Conservatives.

www.youtube.com/watch?v=s4bd...",2024-12-27,English
3lec7zynnpk23,charlieangus104.bsky.social,Charlie Angus,"Song of the day: American Woman - the Guess Who
""I don't need your war machines
I don't need your ghetto scenes
Coloured lights can hypnotize    
Sparkle someone else's eyes""

A song to get you hoser Canucks in the groove of defending our nation. 

www.youtube.com/watch?v=gkqf...",2024-12-27,English
3lec3zzzajs24,charlieangus104.bsky.social,Charlie Angus,"The silence of Canada's political class to the threats from Trump are concerning. 
My response to his Christmas rage rot is getting attention in the American press. 

www.huffpost.com/entry/canadi...",2024-12-27,English
3lec222olrs2t,charlieangus104.bsky.social,Charlie Angus,"Grifters going to grift.
But treason is treason. 
We should be launching an investigation under the foreign interference act over this attempt to sell out our nation.",2024-12-27,English
3leaoyhvzus2l,charlieangus104.bsky.social,Charlie Angus,"Admissions: I was an alter boy. 
I opened for the Dead Kennedys. 
I ran for leader of the NDP and came in second. 
But as far as I know I have never been a member of the Black Panthers. 
As much as I wish I was. 
So much for X trolling.",2024-12-27,English
3leadnv4fd22y,charlieangus104.bsky.social,Charlie Angus,"I was on @meidastouch.bsky.social today talking about Donald Trump's Christmas rage rant and what it means for undermining democracy around the world. 
I called out his bullshit attacks on Canada and Putin-style tactics. 
Meanwhile crickets from Canada's politicians. 
www.youtube.com/watch?v=lXGM...",2024-12-26,English
3lea4czzl4s2k,charlieangus104.bsky.social,Charlie Angus,"I will be back on @meidastouch.bsky.social today to talk about Donald Trump's Christmas threat against Canada. 
There have been the sound of crickets from Ottawa.
Not good enough.",2024-12-26,English
3le7l6bueok2t,charlieangus104.bsky.social,Charlie Angus,"Song of the day: Ca Plane Pour Moi - Plastic Bertrand 1977
""Wham! Bam! Mon chat ""Splash"" gite sur mon lit a bouffe
Sa langue en buvant trop mon whisky.""
Whisky drinking cats - what better song for Boxing Day? 
www.youtube.com/watch?v=Ln31...",2024-12-26,NA
3le7kf5tdlc2q,charlieangus104.bsky.social,Charlie Angus,"An interesting and concerning article by @lindamcquaig.bsky.social
Was Chrystia Freeland ""stabbed in the back"" when she was being asked to take on the job of handling Washington?
Liberal turf wars are a dangerous distraction as Trump begins to move.  
www.thestar.com/politics/pol...",2024-12-26,English
