ID,post_id,author_handle,author_name,text,date_posted,language
313,3ldkiw7tgfc2d,mpjulian.bsky.social,Peter Julian 🇨🇦,"Conservatives claim our border is broken, but it’s their fault. Harper and Poilievre cut over 1,100 CBSA jobs. The Liberals haven’t fully restored them. The #NDP would prioritize border security and ensure it's properly staffed.",2024-12-18,English
330,3ld56ijgoik2v,mpjulian.bsky.social,Peter Julian 🇨🇦,"Under Harper, the Conservatives denied 20,000 veterans’ funeral and burial applications, cut services, and disrespected our veterans. We can never trust them again to run Veterans Affairs or act in the public’s interest. Period.",2024-12-12,English
2,3ldmkw3rvic2w,anitaanandmp.bsky.social,Anita Anand,"Les agents de première ligne travaillent dur chaque jour pour assurer la sécurité des Canadiens.

L'#EEP2024 veille à ce que leur service soit reconnu en élargissant la politique ""25 ans et retraite"", leur permettant de prendre leur retraite après 25 ans sans aucune réduction de pension.",2024-12-19,French
467,3ldqsmnjit22h,jagmeetsingh.ca,Jagmeet Singh,"Justin Trudeau failed in the biggest job a Prime Minister has: to work for people, not the powerful.

The NDP will vote to bring this government down, and give Canadians a chance to vote for a government who will work for them.",2024-12-20,English
501,3ldr2nxtbjs2m,rechievaldez.bsky.social,Rechie Valdez,Félicitations à tous mes collègues qui ont été assermentés en tant que ministres ce matin ! Et mes remerciements les plus sincères à toutes celles et ceux qui ont servi les Canadiens au sein du Cabinet au cours des dernières années.,2024-12-20,French
453,3lcv3ygpspk2j,roboliphant.bsky.social,Rob Oliphant,"Incredibly grateful to all the volunteers who help organize community events, as well as those who’ve spent countless hours knocking on doors and engaging with the residents of #DVW. Proud to show my appreciation at last night’s volunteer appreciation party.",2024-12-09,English
77,3lcyh5vfxcs2a,charlieangus104.bsky.social,Charlie Angus,"Parliament is such a dumbed down and degraded place these days. 
They don't make them like MP Pat Martin anymore. His question about preparations to deal with the zombie apocalypse was one of the high points of parliamentary exchange and good hu.mour 

www.youtube.com/watch?v=ueBZ...",2024-12-11,English
370,3ldobhsaui22b,lloydlongfield.bsky.social,Lloyd Longfield,"Three Guelphites have been appointed to the #OrderOfCanada!

Congratulations, Carlton Gyles, Louise MacCallum, and Michael Barnstijn! 

Thank you, Carlton for your years of veterinary research at OVC. And thank you, Louise and Michael for your ongoing philanthropy.

#Guelph is proud of each of you!",2024-12-19,English
439,3ldekly4pqk2p,roboliphant.bsky.social,Rob Oliphant,"The Anglican Church of St. Augustine of Canterbury is a small, but dynamic community in Leaside. Pleased to offer the sermon today as we take this Advent time to prepare for Christmas. And to present to them the official portrait of King Charles III.",2024-12-15,English
212,3lcqddt7xpk26,jyduclos.bsky.social,Jean-Yves Duclos,"Bravo to the National Congress of Italian-Canadians, and the Regional Council of Italian-Canadian Seniors for their hard work to support the Italian community. A special thanks to Maria Battaglia and to the seniors at the Bocce Club de l’Acadie!",2024-12-07,English
450,3lcxaozurgc22,roboliphant.bsky.social,Rob Oliphant,"As northern parliamentary democracies, Canada & Finland are strong partners with shared values. Pleased to attend a celebration of Finland's Independence with the Chargee d'Affairs of Finland, Ms. Sari Uusi Rauva, & get excited for the World Juniors in Ottawa, starting December 26th.",2024-12-10,English
159,3ld2ii5d6x22q,coteau.bsky.social,Michael Coteau,"Polarization and misinformation are tearing at the fabric of Canada’s democracy. The Conservatives are stoking division and spreading falsehoods, prioritizing politics over people. Canadians deserve leaders who unite, not divide. #CdnPoli #Democracy",2024-12-11,English
349,3lcv736jeis2x,kamalkheralib.bsky.social,Kamal Khera,"Hello Bluesky community 🙋🏾‍♀️

Looking forward to connecting with all of you on here!

-- 

Bonjour à la communauté Bluesky 🙋🏾‍♀️

J'ai hâte de connecter avec vous tous sur cette plateforme!",2024-12-09,French
432,3ldqqnqo6pk2y,roboliphant.bsky.social,Rob Oliphant,Please see my statement about Liberal Party leadership.,2024-12-20,English
409,3ldomrornj22g,marcmillermp.bsky.social,Marc Miller ᐅᑭᒫᐃᐧᐅᓃᐸᐄᐧᐤᐃᔨᐣ,https://bsky.app/profile/marcmillermp.bsky.social/post/3ldomrornj22g,2024-12-19,English
541,3ld4ozlrppc2w,jeanyip3.bsky.social,Jean Yip,"The Bank of Canada has reduced its key interest rate to 3.25% 📉, marking the fifth consecutive rate cut and the second reduction by 50 basis points.

Our plan has created the economic conditions for interest rates to come down. We are on the right path.",2024-12-12,English
412,3ldlpu4xmms2v,marcmillermp.bsky.social,Marc Miller ᐅᑭᒫᐃᐧᐅᓃᐸᐄᐧᐤᐃᔨᐣ,👇 https://bsky.app/profile/marcmillermp.bsky.social/post/3ldlpu4xmms2v,2024-12-18,English
383,3ld553j7t722m,brianmassemp.bsky.social,Brian Masse,"Instead of waiting for Trump's tariffs, it's time for us to act on what we do control and quit waiting around. The US has their Buy America legislation, we need Buy Canada not only to protect our jobs, but leverage Canadian R&D, innovation, manufacturing, & natural resources.

youtu.be/PArfny-WRdc",2024-12-12,English
288,3ld4zbqqst225,markhollandlib.bsky.social,Mark Holland,Ce que j'ai écouté cette année ⬇️,2024-12-12,French
287,3ld4zc6h3ac25,markhollandlib.bsky.social,Mark Holland,What I’ve been listening to this year ⬇️,2024-12-12,English
354,3lcvximeuis2p,jennykwan.bsky.social,Jenny Kwan,"Parliament 3.12.2024
Will the Liberal end the subsidies for big oil?",2024-12-10,English
281,3ld7ta24yy22d,pattyhajdu.bsky.social,Patty Hajdu,"Only 1 day left until the tax break! The perfect occasion to meet up with friends and family for a good meal! 

Le congé de taxes commence demain! L'occasion rêvée de se retrouver entre amis et en famille autour d'un bon repas!",2024-12-13,French
449,3lcykkm3fjc2g,roboliphant.bsky.social,Rob Oliphant,"In January, Canada celebrates 80 years of bilateral relations with Luxemborug. Honoured to welcome the first resident Ambassador of Luxembourg to Canada, Jean Claude Kugener. I look forward to working with him on key international priorities, including multilateralism and human rights.",2024-12-11,English
